Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temperature,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
75,Surface,RSA_075B,20210505,40°47.46',68°00.01',40°47.28',68°00.02',37.5,68.6,NA,11:07,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.678759003,2,12.69263268,2,2.56013298,2,32.7078,2,2062.5,,2214.9,,298.9276706
76,Bottom,RSA_076A,20210505,40°35.90',67°54.03',40°35.87',67°54.05',47.9,87.6,5:26,5:26,5:28,5:30,5:31,L16,Benzalkonium and mercuric,250,,5:39,5:54,40°35.89,67°54.85,40°36.01,67°56.48,79,50,,89.22034,8.047180176,2,99.01968257,2,88.88718287,2,33.5182,2,2104.5,,2253.1,,261.6622854
76,Surface,RSA_076B,20210505,40°35.90',67°54.03',40°35.87',67°54.05',47.9,87.6,NA,5:26,NA,NA,NA,NA,Benzalkonium and mercuric,250,,5:39,5:54,40°35.89,67°54.85,40°36.01,67°56.48,79,50,,2.5,8.107416725,2,12.77239388,2,2.639894187,2,32.3287,2,2032.1,,2201.3,,313.8122429
77,Bottom,RSA_077A,20210505,40°36.08',68°00.05',40°36.07',68°00.10',50,91.4,6:21,6:21,6:22,6:25,6:26,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,92.75003,8.107592773,2,102.3416733,2,92.20917358,2,33.4972,2,2100.9,,2254.1,,263.7739906
77,Surface,RSA_077B,20210505,40°36.08',68°00.05',40°36.07',68°00.10',50,91.4,NA,6:21,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.084526367,2,12.64858646,2,2.516086769,2,32.2979,2,2028.8,,2204.1,,311.8405152
78,Bottom,RSA_078A,20210505,40°41.80',67°54.36',40°41.86',67°54.40',43.9,80.3,7:19,7:19,7:21,7:24,7:25,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,81.37396,7.595501709,2,91.12322617,2,80.99072647,2,33.2836,2,2095.6,,2242.4,,272.0535215
78,Surface,RSA_078B,20210505,40°41.80',67°54.36',40°41.86',67°54.40',43.9,80.3,NA,7:19,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.756319635,2,12.81520685,2,2.682707151,2,32.479,2,2045.5,,2205.9,,305.1628269
79,Bottom,RSA_079A,20210505,40°53.54',68°05.65',40°53.46',68°05.73',32,58.5,10:08,10:08,10:09,10:12,10:13,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,61.57066,8.131048584,2,71.03799057,2,60.90549088,2,32.9351,2,2057.2,,2230.5,-999,298.707806
79,Surface,RSA_079B,20210505,40°53.54',68°05.65',40°53.46',68°05.73',32,58.5,NA,10:08,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.097027588,2,12.61384296,2,2.481343269,2,32.917,2,2058.5,,2231,-999,298.4386111
80,Bottom,RSA_080A,20210505,40°41.75',68°05.87',40°41.76',68°05.87',42.7,78.1,12:02,12:03,12:04,12:07,12:09,L17,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,79.58556,7.303088379,2,89.20467631,2,79.07217662,2,32.912,2,2076.8,,2231.3,-999,291.3109858
80,Surface,RSA_080B,20210505,40°41.75',68°05.87',40°41.76',68°05.87',42.7,78.1,NA,12:03,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.832913547,2,12.63642671,2,2.503927019,2,32.4677,2,2041.4,,2212.4,-999,306.204731
81,Bottom,RSA_081A,20210505,40°36.00',68°11.23',40°35.97',68°12.24',50.8,92.9,NA,13:00,13:01,13:03,13:05,L8,Benzalkonium and mercuric,250,CTD off,NA,NA,NA,NA,NA,NA,NA,NA,,92.9,NA,-999,NA,-999,NA,-999,33.5081,-999,2100,,2256.3,-999,
81,Surface,RSA_081B,20210505,40°36.00',68°11.23',40°35.97',68°12.24',50.8,92.9,NA,13:00,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,NA,-999,NA,-999,NA,-999,32.7014,-999,2055.9,,2218.6,-999,
82,Bottom,RSA_082A,20210505,40°42.21',68°11.91',40°42.24',68°11.90',39.8,72.8,13:49,13:49,13:51,13:54,13:55,L20,Benzalkonium and mercuric,250,,6:03,6:18,40°42.23,68°12.60,40°42.12,68°14.46,32,32,,74.76045,7.467559814,2,84.76551056,2,74.63301086,2,32.9299,2,2071.4,,2244.2,-999,293.8869842
82,Surface,RSA_082B,20210505,40°42.21',68°11.91',40°42.24',68°11.90',39.8,72.8,NA,13:49,NA,NA,NA,NA,Benzalkonium and mercuric,250,,6:03,6:18,40°42.23,68°12.60,40°42.12,68°14.46,32,32,,2.5,8.121411133,2,12.68033164,2,2.547831944,2,32.7939,2,2053.4,,2219.6,-999,299.2419889
83,Bottom,RSA_083A,20210505,40°41.86',68°17.79',40°41.83',68°17.82',35.7,65.3,14:43,14:44,14:45,14:47,14:48,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,67.11761,7.620904541,2,76.22606277,2,66.09356308,2,32.9089,2,2037,,2234.1,-999,298.5679009
83,Surface,RSA_083B,20210505,40°41.86',68°17.79',40°41.83',68°17.82',35.7,65.3,NA,14:44,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.179837545,2,12.64263519,2,2.510135492,2,32.9032,2,2035.8,,2224.5,-999,303.8712283
84,Bottom,RSA_084A,20210505,40°35.96',68°24.04',40°35.91',68°24.11',43.2,79,15:34,15:34,15:36,15:39,15:40,L21,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,80.42122,7.541577148,2,90.0955073,2,79.96300761,2,33.0463,2,2078.7,,2234.2,-999,288.8720814
84,Surface,RSA_084B,20210505,40°35.96',68°24.04',40°35.91',68°24.11',43.2,79,NA,15:34,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.135543213,2,12.66973534,2,2.537235641,2,32.7711,2,2056.7,,2219.2,-999,304.9584829
85,Bottom,RSA_085A,20210505,40°36.03',68°35.00',40°36.10',68°34.95',35.9,65.7,20:23,20:23,20:24,20:26,20:27,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,67.19234,7.687371826,2,76.88565369,2,66.75315399,2,32.8969,2,2058,,2228.9,,304.1545683
85,Surface,RSA_085B,20210505,40°36.03',68°35.00',40°36.10',68°34.95',35.9,65.7,NA,20:23,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.196938324,2,12.62666798,2,2.494168282,2,32.8084,2,2039.5,,2226.1,,316.9550125
86,Bottom,RSA_086A,20210505,40°30.14',68°29.90',40°30.04',68°29.97',48.8,89.2,16:26,16:26,16:27,16:29,16:30,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,90.89623,9.023852539,2,100.4178743,2,90.28537464,2,33.8863,2,2111.9,,2278,,253.8818814
86,Surface,RSA_086B,20210505,40°30.14',68°29.90',40°30.04',68°29.97',48.8,89.2,NA,16:26,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.190579834,2,12.7094944,2,2.576994705,2,32.7117,2,2052.5,,2221.8,,305.0561054
87,Bottom,RSA_234,20210505,40°23.50',68°35.59',40°23.51',68°35.56',49.1,89.8,17:19,17:20,17:21,17:22,17:24,D1,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,91.39427,9.509503174,2,101.1859531,2,91.05345345,2,34.0456,2,2113.7,,2277.6,,250.9812816
87,Surface,RSA_087B,20210505,40°23.50',68°35.59',40°23.51',68°35.56',49.1,89.8,NA,17:20,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.236725871,2,12.59431775,2,2.461818059,2,32.6352,2,2047.1,,2221.8,,306.808004
88,Bottom,RSA_088A,20210505,40°30.06',68°42.05',40°30.15',68°42.06',40,73.2,19:13,19:13,19:14,19:15,19:17,D2,Mercuric,100,,19:19,19:37,40°30.00,68°42.05,40°31.53,68°40.54,88,50,,74.41311,7.621325684,2,84.06365313,2,73.93115343,2,33.0089,2,2074.8,,2237.9,,294.8890456
88,Surface,RSA_088B,20210505,40°30.06',68°42.05',40°30.15',68°42.06',40,73.2,NA,19:13,NA,NA,NA,NA,Mercuric,100,,19:19,19:37,40°30.00,68°42.05,40°31.53,68°40.54,88,50,,2.5,8.086532593,2,12.63299894,2,2.500499249,2,32.8658,2,2028.2,,2234.9,,318.1513183
89,Bottom,RSA_089A,20210505,40°42.01',68°35.00',40°36.10',68°34.95',34.5,63.1,21:11,21:12,21:13,21:14,21:16,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,63.20583,7.81204834,2,72.92964608,2,62.79714639,2,32.8123,2,2041.4,,2224.6,,314.913202
89,Surface,RSA_089B,20210505,40°42.01',68°35.00',40°36.10',68°34.95',34.5,63.1,NA,21:12,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.051106771,2,12.62021526,2,2.487715562,2,32.8818,2,2030.7,,2227.5,,321.7030333
90,Bottom,RSA_090A,20210505,40°47.67',68°42.08',40°47.81',68°42.28',33.4,61.1,21:45,21:46,21:47,21:48,21:49,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,61.91129,7.827345784,2,71.82954254,2,61.69704285,2,32.8197,2,2036,,2226.6,,318.1678868
90,Surface,RSA_090B,20210505,40°47.67',68°42.08',40°47.81',68°42.28',33.4,61.1,NA,21:46,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.868884277,2,12.72679313,2,2.594293435,2,32.8113,2,2035.3,,2223.4,,319.9026943
91,Bottom,RSA_091A,20210505,40°47.59',68°47.59',40°47.61',68°47.58',36.1,66,22:18,22:18,22:19,22:20,22:21,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,67.62432,7.70199585,2,77.09243164,2,66.95993195,2,32.8178,2,2041,,2228.8,,315.7556808
91,Surface,RSA_091B,20210505,40°47.59',68°47.59',40°47.61',68°47.58',36.1,66,NA,22:18,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.828149414,2,12.68964799,2,2.557148298,2,32.7853,2,2037.1,,2226.2,,317.2253327
92,Bottom,RSA_092A,20210506,40°36.09',68°47.57',40°36.03',68°47.43',36,65.8,0:38,0:38,0:41,0:42,0:43,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,67.32213,7.537347412,2,76.97014236,2,66.83764267,2,32.8068,2,2053.8,,2226.4,,310.7506075
92,Surface,RSA_092B,20210506,40°36.09',68°47.57',40°36.03',68°47.43',36,65.8,NA,0:38,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.951639404,2,12.64130745,2,2.508807755,2,32.7637,2,2029.8,,2218.9,,321.2512
93,Bottom,RSA_093A,20210505,40°23.54',68°47.55',40°23.52',68°47.61',46.4,84.9,18:17,18:18,18:19,18:21,18:22,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,86.50687,7.92980957,2,96.11013285,2,85.97763316,2,33.2407,2,2084.8,,2246.2,,280.9184578
93,Surface,RSA_093B,20210505,40°23.54',68°47.55',40°23.52',68°47.61',46.4,84.9,NA,18:18,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.133310954,2,12.6384654,2,2.50596571,2,32.8961,2,2042.4,,2232.7,,317.2542551
94,Bottom,RSA_094A,20210506,40°23.63',68°59.97',40°23.53',68°59.93',45.1,82.5,2:22,2:23,2:24,2:26,2:27,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,84.6853,7.631872557,2,94.39396598,2,84.26146629,2,33.0441,2,2074.8,,2241.1,,288.2568465
94,Surface,RSA_094B,20210506,40°23.63',68°59.97',40°23.53',68°59.93',45.1,82.5,NA,2:23,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.187442627,2,12.72250347,2,2.590003777,2,32.8307,2,2039.5,,2224,,316.5423714
95,Bottom,RSA_095A,20210506,40°29.99',68°53.96',40°29.77',68°54.08',39.3,71.9,1:33,1:33,1:34,1:36,1:37,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,73.71127,7.593408203,2,83.73741913,2,73.60491943,2,32.8914,2,2059.7,,2234.2,,300.8743153
95,Surface,RSA_095B,20210506,40°29.99',68°53.96',40°29.77',68°54.08',39.3,71.9,NA,1:33,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.086461182,2,12.68877907,2,2.556279373,2,32.8452,2,2035.1,,2230.6,,316.0622957
96,Bottom,RSA_096A,20210505,40°42.15',68°53.98',40°42.11',68°53.91',36,65.8,23:48,23:49,23:50,23:51,23:52,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,68.36497,7.593634035,2,77.98467827,2,67.85217857,2,32.8786,2,2051.7,,2234.8,,315.0729743
96,Surface,RSA_096B,20210505,40°42.15',68°53.98',40°42.11',68°53.91',36,65.8,NA,23:49,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.077177734,2,12.7062952,2,2.573795509,2,32.7793,2,2011.3,,2221.7,,336.323356
97,Bottom,RSA_097A,20210505,40°47.50',68°53.82',40°47.66',68°53.84',34.3,62.7,22:54,22:55,22:56,22:58,22:58,D3,Mercuric,100,,23:05,23:20,40°47.66,68°53.84,40°46.14,68°53.89,17,17,,65.75124,7.62947998,2,75.76420593,2,65.63170624,2,32.8549,2,2040.5,,2220.3,,317.3294602
97,Surface,RSA_097B,20210505,40°47.50',68°53.82',40°47.66',68°53.84',34.3,62.7,NA,22:55,NA,NA,NA,NA,Mercuric,100,,23:05,23:20,40°47.66,68°53.84,40°46.14,68°53.89,17,17,,2.5,7.732478114,2,12.68412304,2,2.551623344,2,32.7481,2,2039.4,,2233.9,,322.1824051
98,Bottom,RSA_098A,20210506,40°47.58',69°05.54',40°47.55',69°05.53',35.9,65.7,7:00,7:00,7:02,7:05,7:06,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,66.73785,7.439770508,2,76.68700409,2,66.55450439,2,32.8862,2,2064.4,,2219.4,,306.9779419
98,Surface,RSA_098B,20210506,40°47.58',69°05.54',40°47.55',69°05.53',35.9,65.7,NA,7:00,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.406858318,2,12.7043368,2,2.571837107,2,32.8778,2,2062.3,,2217.5,,306.4367306
99,Bottom,RSA_099A,20210506,40°41.20',69°12.64',40°41.22',69°12.62',31.2,57.1,9:17,9:17,9:18,9:21,9:21,D6,Benzalkonium and mercuric,250,,8:56,9:11,40°41.78,69°13.04,40°41.23,69°12.57,125,50,,59.19469,7.288690186,2,68.85836411,2,58.72586441,2,32.8145,2,2060.9,,2219.7,,307.675372
99,Surface,RSA_099B,20210506,40°41.20',69°12.64',40°41.22',69°12.62',31.2,57.1,NA,9:17,NA,NA,NA,NA,Benzalkonium and mercuric,250,,8:56,9:11,40°41.78,69°13.04,40°41.23,69°12.57,125,50,,2.5,7.305664934,2,12.60558496,2,2.473085267,2,32.796,2,2060.2,,2219.6,,308.32582
100,Bottom,RSA_100A,20210506,40°47.49',69°17.51',40°47.48',69°17.51',31.4,57.4,8:04,8:04,8:05,8:08,8:09,D5,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,58.89424,7.305932617,2,68.75772349,2,58.6252238,2,32.9174,2,2059.7,,2229.2,,306.6316067
100,Surface,RSA_100B,20210506,40°47.49',69°17.51',40°47.48',69°17.51',31.4,57.4,NA,8:04,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.302043062,2,12.70832185,2,2.575822157,2,32.9195,2,2058.8,,2227.1,,306.8802068
101,Bottom,RSA_101A,20210506,40°35.80',69°17.74',40°35.81',69°17.71',30.4,55.6,10:09,10:09,10:10,10:13,10:14,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,56.99459,7.515983391,2,66.15976608,2,56.02726639,2,32.8775,2,2055.6,,2220.9,,306.7255531
101,Surface,RSA_101B,20210506,40°35.80',69°17.74',40°35.81',69°17.71',30.4,55.6,NA,10:09,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.514111939,2,12.63393726,2,2.501437569,2,32.8544,2,2055.6,,2224.5,,305.4726725
102,Bottom,RSA_102A,20210506,40°36.24',69°05.68',40°36.21',69°05.70',39.9,73,5:34,5:35,5:36,5:37,5:38,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,74.53312,7.602966304,2,84.19005013,2,74.05755043,2,32.9249,2,2056.6,,2226.9,,310.687889
102,Surface,RSA_235,20210506,40°36.24',69°05.68',40°36.21',69°05.70',39.9,73,NA,5:35,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.429628209,2,12.5778468,2,2.445347105,2,32.8599,2,2058.2,,2222.9,,308.6148784
103,Bottom,RSA_103A,20210506,40°30.08',69°05.57',40°30.06',69°05.57',42,76.8,4:29,4:29,4:30,4:32,4:33,D4,Mercuric,100,,4:37,4:52,40°30.34,69°05.57,40°31.49,69°05.62,45,44,unsure if 1 scallop was lost or if abundance is wrong,77.82825,7.689931234,2,87.82153875,2,77.68903906,2,32.9416,2,2051.1,,2230.7,,309.2000042
103,Surface,RSA_103B,20210506,40°30.08',69°05.57',40°30.06',69°05.57',42,76.8,NA,4:29,NA,NA,NA,NA,Mercuric,100,,4:37,4:52,40°30.34,69°05.57,40°31.49,69°05.62,45,44,unsure if 1 scallop was lost or if abundance is wrong,2.5,7.945914633,2,12.71422085,2,2.581721159,2,32.8553,2,2028.3,,2224.6,,322.4810314
104,Bottom,RSA_104A,20210506,40°23.57',69°12.03',40°23.52',69°12.08',44.1,80.7,3:25,3:26,3:27,3:28,3:29,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,82.16543,7.714544678,2,91.26247883,2,81.12997913,2,33.1453,2,2077.4,,2243.8,,283.364224
104,Surface,RSA_104B,20210506,40°23.57',69°12.03',40°23.52',69°12.08',44.1,80.7,NA,3:26,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.276765137,2,12.56523647,2,2.432736778,2,32.8529,2,2029.8,,2223.1,,316.2566389
105,Bottom,RSA_105A,20210506,40°29.81',69°24.17',40°29.79',69°24.16',32.7,59.8,11:07,11:08,11:09,11:12,11:14,D7,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,59.00658,7.422235107,2,69.01212438,2,58.87962468,2,32.7982,2,2050.5,,2215.3,,305.3953859
105,Surface,RSA_105B,20210506,40°29.81',69°24.17',40°29.79',69°24.16',32.7,59.8,NA,11:08,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.598145403,2,12.65463693,2,2.522137233,2,32.7218,2,2043,,2210.5,,311.0403413
106,Bottom,RSA_106A,20210506,40°24.57',69°24.77',40°24.57',69°24.55',38.6,70.6,12:05,12:05,12:06,12:08,12:09,D8,Benzalkonium and mercuric,250,,11:43,11:58,40°25.55,69°24.19,40°24.64,69°24.49,12485,50,,71.72189,7.563647461,2,81.7999897,2,71.66749001,2,32.9513,2,2056.7,,2224.9,,302.3817259
106,Surface,RSA_106B,20210506,40°24.57',69°24.77',40°24.57',69°24.55',38.6,70.6,NA,12:05,NA,NA,NA,NA,Benzalkonium and mercuric,250,,11:43,11:58,40°25.55,69°24.19,40°24.64,69°24.49,12485,50,,2.5,8.027908936,2,12.66362343,2,2.531123734,2,32.8347,2,2042,,2214.2,,311.5266384
107,Bottom,RSA_107A,20210506,40°36.09',69°30.36',40°36.01',69°30.38',29.5,53.9,16:02,16:02,16:03,16:06,16:07,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,55.31548,7.635540771,2,64.96615819,2,54.83365849,2,32.6939,2,2039.6,,2211.8,,320.0236963
107,Surface,RSA_107B,20210506,40°36.09',69°30.36',40°36.01',69°30.38',29.5,53.9,NA,16:02,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.947431641,2,12.61015205,2,2.477652359,2,32.7043,2,2033.5,,2210.1,,325.1411087
108,Bottom,RSA_108A,20210506,40°30.47',69°35.41',40°30.42',69°35.41',35.9,65.7,15:07,15:07,15:08,15:11,15:12,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,66.98218,7.56315714,2,76.97153425,2,66.83903456,2,32.871,2,2053.7,,2217.7,,309.8953547
108,Surface,RSA_108B,20210506,40°30.47',69°35.41',40°30.42',69°35.41',35.9,65.7,NA,15:07,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.961608887,2,12.65902138,2,2.526521683,2,32.742,2,2038.6,,2212.8,,320.0600929
109,Bottom,RSA_109A,20210506,40°23.59',69°36.24',40°23.59',69°36.23',36.3,66.4,13:16,13:16,13:17,13:19,13:20,D9,Benzalkonium and mercuric,250,,13:24,13:40,40°23.54,69°36.60,40°23.48,69°38.30,19,18,unsure if 1 scallop was lost or if abundance is wrong,68.02521,7.783728027,2,77.87798309,2,67.7454834,2,32.9457,2,2047.5,,2214.9,,297.5592272
109,Surface,RSA_109B,20210506,40°23.59',69°36.24',40°23.59',69°36.23',36.3,66.4,NA,13:16,NA,NA,NA,NA,Benzalkonium and mercuric,250,,13:24,13:40,40°23.54,69°36.60,40°23.48,69°38.30,19,18,unsure if 1 scallop was lost or if abundance is wrong,2.5,8.622790222,2,12.69613304,2,2.563633347,2,32.9204,2,2030.7,,2218.8,,304.0525617
110,Bottom,RSA_110A,20210506,40°23.85',69°41.50',40°23.82',69°41.47',37.5,68.6,14:06,14:07,14:08,14:10,14:11,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,70.24182,7.687597656,2,79.95957947,2,69.82707977,2,32.9072,2,2052.7,,2217,,296.0347605
110,Surface,RSA_110B,20210506,40°23.85',69°41.50',40°23.82',69°41.47',37.5,68.6,NA,14:07,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.615737479,2,12.75184522,2,2.619345529,2,32.8877,2,2040.6,,2213.6,,300.4283526
111,Bottom,RSA_111A,20210506,40°36.06',69°41.87',40°35.98',69°41.99',32.1,58.7,NA,17:01,17:02,17:04,17:04,NA,Benzalkonium and mercuric,250,CTD off,NA,NA,NA,NA,NA,NA,NA,NA,,58.7,NA,-999,NA,-999,NA,-999,33.0237,-999,2050,,2225.4,,
111,Surface,RSA_111B,20210506,40°36.06',69°41.87',40°35.98',69°41.99',32.1,58.7,NA,17:01,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,NA,-999,NA,-999,NA,-999,32.775,-999,2024.8,,2210.3,,
112,Bottom,RSA_112A,20210506,40°30.13',69°47.48',40°30.08',69°47.55',37.9,69.3,17:47,17:47,17:48,17:49,17:50,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,70.99103,7.912475586,2,80.79898834,2,70.66648865,2,32.9483,2,1974.6,,2216.6,,299.6976474
112,Surface,RSA_112B,20210506,40°30.13',69°47.48',40°30.08',69°47.55',37.9,69.3,NA,17:47,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.874117432,2,12.71688728,2,2.584387589,2,32.8637,2,2031.4,,2211.7,,312.4593316
113,Bottom,RSA_113A,20210506,40°35.92',69°53.85',40°35.96',69°53.92',32.1,58.7,18:37,18:37,18:38,18:40,18:40,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,60.57163,8.28354187,2,70.17830319,2,60.04580349,2,32.8151,2,2032.6,,2202.5,,303.8918899
113,Surface,RSA_113B,20210506,40°35.92',69°53.85',40°35.96',69°53.92',32.1,58.7,NA,18:37,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.862426758,2,12.7107502,2,2.578250504,2,32.7917,2,2029.1,,2198.1,,305.0727118
114,Bottom,RSA_114A,20210506,40°42.05',69°47.74',40°42.09',69°47.77',26.8,49,19:31,19:32,19:33,19:34,19:35,NA,Mercuric,100,CTD data didn't download,NA,NA,NA,NA,NA,NA,NA,NA,,49,NA,-999,NA,-999,NA,-999,32.7195,-999,2025.4,,2201.4,,
114,Surface,RSA_114B,20210506,40°42.05',69°47.74',40°42.09',69°47.77',26.8,49,NA,19:32,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,NA,-999,NA,-999,NA,-999,32.6981,-999,2017,,2208.3,,
